category_path,cat_leaf,cat_depth,cat_l1,cat_l2,cat_l3,cat_l4,cat_l5,cat_l6,cat_l7,category_key
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums|HandheldVacuums",HandheldVacuums,7,Home&Kitchen,Kitchen&HomeAppliances,"Vacuum,Cleaning&Ironing",Vacuums&FloorCare,Vacuums,HandheldVacuums,,138
Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors|ScreenProtectors,ScreenProtectors,5,Computers&Accessories,Accessories&Peripherals,TabletAccessories,ScreenProtectors,,,,139
Computers&Accessories|Accessories&Peripherals|HardDriveAccessories|Caddies|Caddies,Caddies,5,Computers&Accessories,Accessories&Peripherals,HardDriveAccessories,Caddies,,,,140
Electronics|HomeAudio|Speakers|OutdoorSpeakers|OutdoorSpeakers,OutdoorSpeakers,5,Electronics,HomeAudio,Speakers,OutdoorSpeakers,,,,141
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones|Smartphones,Smartphones,5,Electronics,Mobiles&Accessories,Smartphones&BasicMobiles,Smartphones,,,,142
HomeImprovement|Electrical|Adapters&Multi-Outlets|Adapters&Multi-Outlets,Adapters&Multi-Outlets,4,HomeImprovement,Electrical,Adapters&Multi-Outlets,,,,,143
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands|NotebookComputerStands,NotebookComputerStands,5,Computers&Accessories,Accessories&Peripherals,LaptopAccessories,NotebookComputerStands,,,,144
Electronics|Cameras&Photography|SecurityCameras|DomeCameras|DomeCameras,DomeCameras,5,Electronics,Cameras&Photography,SecurityCameras,DomeCameras,,,,145
Computers&Accessories|ExternalDevices&DataStorage|ExternalMemoryCardReaders|ExternalMemoryCardReaders,ExternalMemoryCardReaders,4,Computers&Accessories,ExternalDevices&DataStorage,ExternalMemoryCardReaders,,,,,146
"Computers&Accessories|Accessories&Peripherals|TabletAccessories|Bags,Cases&Sleeves|Cases|Cases",Cases,6,Computers&Accessories,Accessories&Peripherals,TabletAccessories,"Bags,Cases&Sleeves",Cases,,,147
